i= 1562 	idx= 198391
i= 781 	idx= 199172
i= 391 	idx= 199563
i= 195 	idx= 199758
i= 98 	idx= 199856
i= 49 	idx= 199905
i= 24 	idx= 199929
i= 12 	idx= 199941
i= 6 	idx= 199947
i= 3 	idx= 199950
i= 2 	idx= 199952
i= 1 	idx= 199951
i= 0 	idx= 199951
i= 49988 	idx= 149964
i= 24994 	idx= 174958
i= 12497 	idx= 187455
i= 6249 	idx= 193704
i= 3124 	idx= 196828
i= 1562 	idx= 198390
i= 781 	idx= 199171
i= 391 	idx= 199562
i= 195 	idx= 199757
i= 98 	idx= 199855
i= 49 	idx= 199904
i= 24 	idx= 199928
i= 12 	idx= 199940
i= 6 	idx= 199946
i= 3 	idx= 199949
i= 2 	idx= 199951
i= 1 	idx= 199950
i= 0 	idx= 199950
i= 49988 	idx= 149964
i= 24994 	idx= 174958
i= 12497 	idx= 187455
i= 6248 	idx= 193703
i= 3124 	idx= 196827
i= 1562 	idx= 198389
i= 781 	idx= 199170
i= 391 	idx= 199561
i= 195 	idx= 199756
i= 98 	idx= 199854
i= 49 	idx= 199903
i= 24 	idx= 199927
i= 12 	idx= 199939
i= 6 	idx= 199945
i= 3 	idx= 199948
i= 2 	idx= 199950
i= 1 	idx= 199949
i= 0 	idx= 199949
i= 49988 	idx= 149963
i= 24994 	idx= 174957
i= 12497 	idx= 187454
i= 6248 	idx= 193702
i= 3124 	idx= 196826
i= 1562 	idx= 198388
i= 781 	idx= 199169
i= 391 	idx= 199560
i= 195 	idx= 199755
i= 98 	idx= 199853
i= 49 	idx= 199902
i= 24 	idx= 199926
i= 12 	idx= 199938
i= 6 	idx= 199944
i= 3 	idx= 199947
i= 2 	idx= 199949
i= 1 	idx= 199948
i= 0 	idx= 199948
i= 49987 	idx= 149962
i= 24994 	idx= 174956
i= 12497 	idx= 187453
i= 6248 	idx= 193701
i= 3124 	idx= 196825
i= 1562 	idx= 198387
i= 781 	idx= 199168
i= 391 	idx= 199559
i= 195 	idx= 199754
i= 98 	idx= 199852
i= 49 	idx= 199901
i= 24 	idx= 199925
i= 12 	idx= 199937
i= 6 	idx= 199943
i= 3 	idx= 199946
i= 2 	idx= 199948
i= 1 	idx= 199947
i= 0 	idx= 199946
i= 49987 	idx= 149961
i= 24993 	idx= 174954
i= 12497 	idx= 187451
i= 6248 	idx= 193699
i= 3124 	idx= 196823
i= 1562 	idx= 198385
i= 781 	idx= 199166
i= 391 	idx= 199557
i= 195 	idx= 199752
i= 98 	idx= 199850
i= 49 	idx= 199899
i= 24 	idx= 199923
i= 12 	idx= 199935
i= 6 	idx= 199941
i= 3 	idx= 199944
i= 2 	idx= 199946
i= 1 	idx= 199945
i= 0 	idx= 199945
i= 49987 	idx= 149960
i= 24993 	idx= 174953
i= 12497 	idx= 187450
i= 6248 	idx= 193698
i= 3124 	idx= 196822
i= 1562 	idx= 198384
i= 781 	idx= 199165
i= 391 	idx= 199556
i= 195 	idx= 199751
i= 98 	idx= 199849
i= 49 	idx= 199898
i= 24 	idx= 199922
i= 12 	idx= 199934
i= 6 	idx= 199940
i= 3 	idx= 199943
i= 2 	idx= 199945
i= 1 	idx= 199946
i= 0 	idx= 199945
i= 49987 	idx= 149960
i= 24993 	idx= 174953
i= 12497 	idx= 187450
i= 6248 	idx= 193698
i= 3124 	idx= 196822
i= 1562 	idx= 198384
i= 781 	idx= 199165
i= 391 	idx= 199556
i= 195 	idx= 199751
i= 98 	idx= 199849
i= 49 	idx= 199898
i= 24 	idx= 199922
i= 12 	idx= 199934
i= 6 	idx= 199940
i= 3 	idx= 199943
i= 2 	idx= 199945
i= 1 	idx= 199946
i= 0 	idx= 199945
i= 49987 	idx= 149960
i= 24993 	idx= 174953
i= 12497 	idx= 187450
i= 6248 	idx= 193698
i= 3124 	idx= 196822
i= 1562 	idx= 198384
i= 781 	idx= 199165
i= 391 	idx= 199556
i= 195 	idx= 199751
i= 98 	idx= 199849
i= 49 	idx= 199898
i= 24 	idx= 199922
i= 12 	idx= 199934
i= 6 	idx= 199940
i= 3 	idx= 199943
i= 2 	idx= 199945
i= 1 	idx= 199944
i= 0 	idx= 199944
i= 49986 	idx= 149959
i= 24993 	idx= 174952
i= 12497 	idx= 187449
i= 6248 	idx= 193697
i= 3124 	idx= 196821
i= 1562 	idx= 198383
i= 781 	idx= 199164
i= 391 	idx= 199555
i= 195 	idx= 199750
i= 98 	idx= 199848
i= 49 	idx= 199897
i= 24 	idx= 199921
i= 12 	idx= 199933
i= 6 	idx= 199939
i= 3 	idx= 199942
i= 1 	idx= 199940
i= 1 	idx= 199941
i= 0 	idx= 199940
i= 49985 	idx= 149956
i= 24993 	idx= 174949
i= 12496 	idx= 187445
i= 6248 	idx= 193693
i= 3124 	idx= 196817
i= 1562 	idx= 198379
i= 781 	idx= 199160
i= 391 	idx= 199551
i= 195 	idx= 199746
i= 98 	idx= 199844
i= 49 	idx= 199893
i= 24 	idx= 199917
i= 12 	idx= 199929
i= 6 	idx= 199935
i= 3 	idx= 199938
i= 1 	idx= 199936
i= 1 	idx= 199937
i= 0 	idx= 199937
i= 49985 	idx= 149954
i= 24992 	idx= 174946
i= 12496 	idx= 187442
i= 6248 	idx= 193690
i= 3124 	idx= 196814
i= 1562 	idx= 198376
i= 781 	idx= 199157
i= 391 	idx= 199548
i= 195 	idx= 199743
i= 98 	idx= 199841
i= 49 	idx= 199890
i= 24 	idx= 199914
i= 12 	idx= 199926
i= 6 	idx= 199932
i= 3 	idx= 199935
i= 2 	idx= 199937
i= 1 	idx= 199936
i= 0 	idx= 199936
i= 49984 	idx= 149953
i= 24992 	idx= 174945
i= 12496 	idx= 187441
i= 6248 	idx= 193689
i= 3124 	idx= 196813
i= 1562 	idx= 198375
i= 781 	idx= 199156
i= 391 	idx= 199547
i= 195 	idx= 199742
i= 98 	idx= 199840
i= 49 	idx= 199889
i= 24 	idx= 199913
i= 12 	idx= 199925
i= 6 	idx= 199931
i= 3 	idx= 199934
i= 2 	idx= 199936
i= 1 	idx= 199935
i= 0 	idx= 199935
i= 49984 	idx= 149952
i= 24992 	idx= 174944
i= 12496 	idx= 187440
i= 6248 	idx= 193688
i= 3124 	idx= 196812
i= 1562 	idx= 198374
i= 781 	idx= 199155
i= 391 	idx= 199546
i= 195 	idx= 199741
i= 98 	idx= 199839
i= 49 	idx= 199888
i= 24 	idx= 199912
i= 12 	idx= 199924
i= 6 	idx= 199930
i= 3 	idx= 199933
i= 2 	idx= 199935
i= 1 	idx= 199936
i= 0 	idx= 199935
i= 49984 	idx= 149952
i= 24992 	idx= 174944
i= 12496 	idx= 187440
i= 6248 	idx= 193688
i= 3124 	idx= 196812
i= 1562 	idx= 198374
i= 781 	idx= 199155
i= 391 	idx= 199546
i= 195 	idx= 199741
i= 98 	idx= 199839
i= 49 	idx= 199888
i= 24 	idx= 199912
i= 12 	idx= 199924
i= 6 	idx= 199930
i= 3 	idx= 199933
i= 2 	idx= 199935
i= 1 	idx= 199934
i= 0 	idx= 199934
i= 49984 	idx= 149952
i= 24992 	idx= 174944
i= 12496 	idx= 187440
i= 6248 	idx= 193688
i= 3124 	idx= 196812
i= 1562 	idx= 198374
i= 781 	idx= 199155
i= 390 	idx= 199545
i= 195 	idx= 199740
i= 98 	idx= 199838
i= 49 	idx= 199887
i= 24 	idx= 199911
i= 12 	idx= 199923
i= 6 	idx= 199929
i= 3 	idx= 199932
i= 2 	idx= 199934
i= 1 	idx= 199933
i= 0 	idx= 199932
i= 49983 	idx= 149950
i= 24992 	idx= 174942
i= 12496 	idx= 187438
i= 6248 	idx= 193686
i= 3124 	idx= 196810
i= 1562 	idx= 198372
i= 781 	idx= 199153
i= 390 	idx= 199543
i= 195 	idx= 199738
i= 98 	idx= 199836
i= 49 	idx= 199885
i= 24 	idx= 199909
i= 12 	idx= 199921
i= 6 	idx= 199927
i= 3 	idx= 199930
i= 2 	idx= 199932
i= 1 	idx= 199931
i= 0 	idx= 199930
i= 49983 	idx= 149949
i= 24991 	idx= 174940
i= 12496 	idx= 187436
i= 6248 	idx= 193684
i= 3124 	idx= 196808
i= 1562 	idx= 198370
i= 781 	idx= 199151
i= 390 	idx= 199541
i= 195 	idx= 199736
i= 98 	idx= 199834
i= 49 	idx= 199883
i= 24 	idx= 199907
i= 12 	idx= 199919
i= 6 	idx= 199925
i= 3 	idx= 199928
i= 2 	idx= 199930
i= 1 	idx= 199931
i= 0 	idx= 199930
i= 49983 	idx= 149949
i= 24991 	idx= 174940
i= 12496 	idx= 187436
i= 6248 	idx= 193684
i= 3124 	idx= 196808
i= 1562 	idx= 198370
i= 781 	idx= 199151
i= 390 	idx= 199541
i= 195 	idx= 199736
i= 98 	idx= 199834
i= 49 	idx= 199883
i= 24 	idx= 199907
i= 12 	idx= 199919
i= 6 	idx= 199925
i= 3 	idx= 199928
i= 2 	idx= 199930
i= 1 	idx= 199929
i= 0 	idx= 199929
i= 49983 	idx= 149948
i= 24991 	idx= 174939
i= 12496 	idx= 187435
i= 6248 	idx= 193683
i= 3124 	idx= 196807
i= 1562 	idx= 198369
i= 781 	idx= 199150
i= 390 	idx= 199540
i= 195 	idx= 199735
i= 98 	idx= 199833
i= 49 	idx= 199882
i= 24 	idx= 199906
i= 12 	idx= 199918
i= 6 	idx= 199924
i= 3 	idx= 199927
i= 2 	idx= 199929
i= 1 	idx= 199928
i= 0 	idx= 199928
i= 49982 	idx= 149947
i= 24991 	idx= 174938
i= 12496 	idx= 187434
i= 6248 	idx= 193682
i= 3124 	idx= 196806
i= 1562 	idx= 198368
i= 781 	idx= 199149
i= 390 	idx= 199539
i= 195 	idx= 199734
i= 98 	idx= 199832
i= 49 	idx= 199881
i= 24 	idx= 199905
i= 12 	idx= 199917
i= 6 	idx= 199923
i= 3 	idx= 199926
i= 2 	idx= 199928
i= 1 	idx= 199929
i= 0 	idx= 199928
i= 49982 	idx= 149947
i= 24991 	idx= 174938
i= 12496 	idx= 187434
i= 6248 	idx= 193682
i= 3124 	idx= 196806
i= 1562 	idx= 198368
i= 781 	idx= 199149
i= 390 	idx= 199539
i= 195 	idx= 199734
i= 98 	idx= 199832
i= 49 	idx= 199881
i= 24 	idx= 199905
i= 12 	idx= 199917
i= 6 	idx= 199923
i= 3 	idx= 199926
i= 2 	idx= 199928
i= 1 	idx= 199927
i= 0 	idx= 199927
i= 49982 	idx= 149946
i= 24991 	idx= 174937
i= 12496 	idx= 187433
i= 6248 	idx= 193681
i= 3124 	idx= 196805
i= 1562 	idx= 198367
i= 781 	idx= 199148
i= 390 	idx= 199538
i= 195 	idx= 199733
i= 98 	idx= 199831
i= 49 	idx= 199880
i= 24 	idx= 199904
i= 12 	idx= 199916
i= 6 	idx= 199922
i= 3 	idx= 199925
i= 2 	idx= 199927
i= 1 	idx= 199926
i= 0 	idx= 199926
i= 49982 	idx= 149946
i= 24991 	idx= 174937
i= 12495 	idx= 187432
i= 6248 	idx= 193680
i= 3124 	idx= 196804
i= 1562 	idx= 198366
i= 781 	idx= 199147
i= 390 	idx= 199537
i= 195 	idx= 199732
i= 98 	idx= 199830
i= 49 	idx= 199879
i= 24 	idx= 199903
i= 12 	idx= 199915
i= 6 	idx= 199921
i= 3 	idx= 199924
i= 2 	idx= 199926
i= 1 	idx= 199927
i= 0 	idx= 199926
i= 49982 	idx= 149946
i= 24991 	idx= 174937
i= 12495 	idx= 187432
i= 6248 	idx= 193680
i= 3124 	idx= 196804
i= 1562 	idx= 198366
i= 781 	idx= 199147
i= 390 	idx= 199537
i= 195 	idx= 199732
i= 98 	idx= 199830
i= 49 	idx= 199879
i= 24 	idx= 199903
i= 12 	idx= 199915
i= 6 	idx= 199921
i= 3 	idx= 199924
i= 2 	idx= 199926
i= 1 	idx= 199927
i= 0 	idx= 199926
i= 49982 	idx= 149946
i= 24991 	idx= 174937
i= 12495 	idx= 187432
i= 6248 	idx= 193680
i= 3124 	idx= 196804
i= 1562 	idx= 198366
i= 781 	idx= 199147
i= 390 	idx= 199537
i= 195 	idx= 199732
i= 98 	idx= 199830
i= 49 	idx= 199879
i= 24 	idx= 199903
i= 12 	idx= 199915
i= 6 	idx= 199921
i= 3 	idx= 199924
i= 2 	idx= 199926
i= 1 	idx= 199925
i= 0 	idx= 199925
i= 49982 	idx= 149945
i= 24991 	idx= 174936
i= 12495 	idx= 187431
i= 6248 	idx= 193679
i= 3124 	idx= 196803
i= 1562 	idx= 198365
i= 781 	idx= 199146
i= 390 	idx= 199536
i= 195 	idx= 199731
i= 98 	idx= 199829
i= 49 	idx= 199878
i= 24 	idx= 199902
i= 12 	idx= 199914
i= 6 	idx= 199920
i= 3 	idx= 199923
i= 2 	idx= 199925
i= 1 	idx= 199924
i= 0 	idx= 199923
i= 49981 	idx= 149943
i= 24991 	idx= 174934
i= 12495 	idx= 187429
i= 6248 	idx= 193677
i= 3124 	idx= 196801
i= 1562 	idx= 198363
i= 781 	idx= 199144
i= 390 	idx= 199534
i= 195 	idx= 199729
i= 98 	idx= 199827
i= 49 	idx= 199876
i= 24 	idx= 199900
i= 12 	idx= 199912
i= 6 	idx= 199918
i= 3 	idx= 199921
i= 2 	idx= 199923
i= 1 	idx= 199922
i= 0 	idx= 199922
i= 49981 	idx= 149943
i= 24990 	idx= 174933
i= 12495 	idx= 187428
i= 6248 	idx= 193676
i= 3124 	idx= 196800
i= 1562 	idx= 198362
i= 781 	idx= 199143
i= 390 	idx= 199533
i= 195 	idx= 199728
i= 98 	idx= 199826
i= 49 	idx= 199875
i= 24 	idx= 199899
i= 12 	idx= 199911
i= 6 	idx= 199917
i= 3 	idx= 199920
i= 2 	idx= 199922
i= 1 	idx= 199923
i= 0 	idx= 199922
i= 49981 	idx= 149943
i= 24990 	idx= 174933
i= 12495 	idx= 187428
